city_ascii,state_name,Year,Month,Monthly_Avg_AQI
Albany,Georgia,2016,6,36.96666666666667
Albany,Georgia,2016,7,30.64516129032258
Albany,Georgia,2016,8,23.774193548387096
Albany,Georgia,2016,9,32.03333333333333
Albany,Georgia,2016,10,37.46666666666667
Albany,Georgia,2016,11,52.766666666666666
Albany,Georgia,2016,12,36.61290322580645
Albany,Georgia,2017,1,38.645161290322584
Albany,Georgia,2017,2,50.0
Albany,Georgia,2017,3,55.5
Albany,Georgia,2017,4,46.827586206896555
Albany,Georgia,2017,5,39.06666666666667
Albany,Georgia,2017,6,28.285714285714285
Albany,Georgia,2017,7,32.354838709677416
Albany,Georgia,2017,8,35.0
Albany,Georgia,2017,9,41.0
Albany,Georgia,2017,10,27.258064516129032
Albany,Georgia,2017,11,41.06666666666667
Albany,Georgia,2017,12,34.29032258064516
Albany,Georgia,2018,1,40.12903225806452
Albany,Georgia,2018,2,32.407407407407405
Albany,Georgia,2018,3,47.58620689655172
Albany,Georgia,2018,4,34.266666666666666
Albany,Georgia,2018,5,33.774193548387096
Albany,Georgia,2018,6,35.266666666666666
Albany,Georgia,2018,7,35.25806451612903
Albany,Georgia,2018,8,27.967741935483872
Albany,Georgia,2018,9,24.466666666666665
Albany,Georgia,2018,10,36.2962962962963
Albany,Georgia,2018,11,31.82758620689655
Albany,Georgia,2018,12,28.903225806451612
Albany,Georgia,2019,1,38.645161290322584
Albany,Georgia,2019,2,39.82142857142857
Albany,Georgia,2019,3,60.27272727272727
Albany,Georgia,2019,4,47.2
Albany,Georgia,2019,5,48.25806451612903
Albany,Georgia,2019,6,42.2
Albany,Georgia,2019,7,43.29032258064516
Albany,Georgia,2019,8,34.774193548387096
Albany,Georgia,2019,9,44.03333333333333
Albany,Georgia,2019,10,35.12903225806452
Albany,Georgia,2019,11,42.2
Albany,Georgia,2019,12,32.58064516129032
Albany,Georgia,2020,1,35.38709677419355
Albany,Georgia,2020,2,30.103448275862068
Albany,Georgia,2020,3,58.45161290322581
Albany,Georgia,2020,4,44.3
Albany,Georgia,2020,5,37.806451612903224
Albany,Georgia,2020,6,44.93333333333333
Albany,Georgia,2020,7,36.83870967741935
Albany,Georgia,2020,8,37.806451612903224
Albany,Georgia,2020,9,35.5
Albany,Georgia,2020,10,36.233333333333334
Albany,Georgia,2020,11,36.233333333333334
Albany,Georgia,2020,12,47.96774193548387
Albany,Georgia,2021,1,42.25806451612903
Albany,Georgia,2021,2,35.035714285714285
Albany,Georgia,2021,3,56.03225806451613
Albany,Georgia,2021,4,55.5
Albany,Georgia,2021,5,37.87096774193548
Albany,Georgia,2021,6,35.642857142857146
Albany,Georgia,2021,7,40.3
Albany,Georgia,2021,8,38.6
Albany,Georgia,2021,9,37.785714285714285
Albany,Georgia,2021,10,37.193548387096776
Albany,Georgia,2021,11,43.233333333333334
Albany,Georgia,2021,12,42.354838709677416
Albany,Georgia,2022,1,41.54838709677419
Albany,Georgia,2022,2,58.5
Albany,Georgia,2022,3,55.275862068965516
Albany,New York,1980,1,24.322580645161292
Albany,New York,1980,2,29.413793103448278
Albany,New York,1980,3,36.193548387096776
Albany,New York,1980,4,44.06666666666667
